table,lev,time,kuski
4,32,"44,57",KingKong
4,33,"1:43,44",Champi0N
4,34,"38,56",Garion
4,35,"2:38,45",loX
4,36,"1:04,57",Jokke
4,37,"1:01,83",DMC
4,38,"33,89",Stene
4,39,"45,77",KingKong
4,40,"1:30,85",loX
4,41,"41,04",Garion
4,42,"51,71",Mandel
4,43,"1:02,59",Karlis
4,44,"33,94","3 Litre"
4,45,"33,96",mazter
4,46,"1:10,11",zeth
4,47,"27,08",zeth
4,48,"54,77",Joni
4,49,"44,39",Joni
4,50,"1:02,33",Markku
4,51,"58,00",Fulgore
4,52,"26,92",Rainman
4,53,"18,50",psy
4,54,"1:56,66",ramone
5,1,"14,37",Stikky
5,2,"16,88",zyntifox
5,3,"20,01",DeG
5,4,"32,14","mengerle [UA]"
5,5,"22,41",Ufo
5,6,"33,41",Markku
5,7,"35,82",powell
5,8,"22,55",SoGe
5,9,"1:04,52",Dr_Luni
5,10,"13,86",mr
5,11,"26,52",Joni
5,12,"22,84",Gazoline
5,13,"17,89",LocDog
5,14,"18,35",DeG
5,15,"1:07,53",zeth
5,16,"1:35,64",Stene
5,17,"58,87",YeeS
5,18,"46,79",ZanguiZ
5,19,"40,80",Stene
5,20,"1:07,90",Joni
5,21,"15,20",elg
5,22,"42,86",TuA
5,23,"48,61",Jokke
5,24,"1:00,02",Jokke
5,25,"25,11","AnTTiM [HfK]"
5,26,"28,15",psy
5,27,"38,00",Champi0N
5,28,"54,84",Petri
5,29,"49,82",zeth
5,30,"34,77",EsEx
5,31,"1:28,81",KingKong
5,32,"44,54",Qazz
5,33,"1:43,44",Champi0N
5,34,"38,56",Garion
5,35,"2:38,45",loX
5,36,"1:04,57",Jokke
5,37,"1:01,83",DMC
5,38,"33,89",Stene
5,39,"45,49",Garion
5,40,"1:30,85",loX
5,41,"41,04",Garion
5,42,"51,68",Jokke
5,43,"1:02,59",Karlis
5,44,"33,94","3 Litre"
5,45,"33,85",zyntifox
5,46,"1:10,11",zeth
5,47,"27,08",zeth
5,48,"54,77",Joni
5,49,"44,39",Joni
5,50,"1:02,33",Markku
5,51,"58,00",Fulgore
5,52,"26,92",Rainman
5,53,"18,44",Markku
5,54,"1:56,66",ramone
6,1,"14,37",Stikky
6,2,"16,88",zyntifox
6,3,"20,01",DeG
6,4,"31,96",Champi0N
6,5,"22,41",Ufo
6,6,"33,41",Markku
6,7,"35,56",Champi0N
6,8,"22,55",SoGe
6,9,"1:04,52",Dr_Luni
6,10,"13,86",mr
6,11,"26,52",Joni
6,12,"22,84",Gazoline
6,13,"17,87",LocDog
6,14,"18,35",DeG
6,15,"1:07,53",zeth
6,16,"1:34,20",Champi0N
6,17,"58,87",YeeS
6,18,"46,79",ZanguiZ
6,19,"40,74",Champi0N
6,20,"1:07,90",Joni
6,21,"15,15",elg
6,22,"42,86",TuA
6,23,"48,29","3 Litre"
6,24,"1:00,02",Jokke
6,25,"25,11","AnTTiM [HfK]"
6,26,"28,15",psy
6,27,"38,00",Champi0N
6,28,"54,84",Petri
6,29,"49,82",zeth
6,30,"34,57",Tookai
6,31,"1:28,81",KingKong
6,32,"44,27",KingKong
6,33,"1:43,44",Champi0N
6,34,"38,53",Garion
6,35,"2:38,45",loX
