table,lev,time,kuski
59,20,"1:06,93",Joni
59,21,"14,96",zyntifox
59,22,"40,65",TuA
59,23,"47,32",ZeiZei
59,24,"58,16",Jokke
59,25,"24,88",Jeppe
59,26,"26,89",Jokke
59,27,"37,29",ZeiZei
59,28,"53,47",Karlis
59,29,"48,52",elg
59,30,"33,80",LimpaN
59,31,"1:22,42",Totalnew
59,32,"43,72",Jeppe
59,33,"1:08,31",swos
59,34,"38,12",Totalnew
59,35,"2:36,58",zyntifox
59,36,"1:01,54",Jokke
59,37,"58,74",YeeS
59,38,"33,39",Karlis
59,39,"44,66",KingKong
59,40,"1:27,96",swos
59,41,"39,98",YeeS
59,42,"50,49",Jokke
59,43,"1:00,44",Karlis
59,44,"15,39",Karlis
59,45,"33,00",LimpaN
59,46,"1:06,36",Stene
59,47,"24,00",Eliaz
59,48,"50,60",Elbono
59,49,"42,72",Jokke
59,50,"58,89",Champi0N
59,51,"53,66",YeeS
59,52,"26,03",Tuska
59,53,"18,07",elg
59,54,"1:52,66",pajen
60,1,"14,20",zyntifox
60,2,"16,74",Jeppe
60,3,"19,42",Bob
60,4,"31,41",elg
60,5,"21,67",mengerle
60,6,"32,70",zyntifox
60,7,"34,95",TheGepi
60,8,"21,78",Jeppe
60,9,"1:02,71",Dr_Luni
60,10,"12,51",MGen
60,11,"25,71",psy
60,12,"22,57",Markku
60,13,"17,31",zyntifox
60,14,"18,29",Jeppe
60,15,"1:05,52",Jokke
60,16,"1:32,87",YeeS
60,17,"56,97",umiz
60,18,"46,05",Eliaz
60,19,"39,82",Champi0N
60,20,"1:06,93",Joni
60,21,"14,96",zyntifox
60,22,"40,63",Jokke
60,23,"47,32",ZeiZei
60,24,"58,16",Jokke
60,25,"24,88",Jeppe
60,26,"26,89",Jokke
60,27,"37,29",ZeiZei
60,28,"53,47",Karlis
60,29,"48,52",elg
60,30,"33,80",LimpaN
60,31,"1:22,42",Totalnew
60,32,"43,72",Jeppe
60,33,"1:08,31",swos
60,34,"37,97",Totalnew
60,35,"2:35,33",pajen
60,36,"1:01,54",Jokke
60,37,"58,10",YeeS
60,38,"33,39",Karlis
60,39,"44,66",KingKong
60,40,"1:27,96",swos
60,41,"39,98",YeeS
60,42,"50,49",Jokke
60,43,"1:00,44",Karlis
60,44,"15,39",Karlis
60,45,"33,00",LimpaN
60,46,"1:06,36",Stene
60,47,"24,00",Eliaz
60,48,"50,60",Elbono
60,49,"42,72",Jokke
60,50,"58,89",Champi0N
60,51,"53,66",YeeS
60,52,"26,00",Stene
60,53,"18,07",elg
60,54,"1:52,55",pajen
61,1,"14,20",zyntifox
61,2,"16,74",Jeppe
61,3,"19,42",Bob
61,4,"31,41",elg
61,5,"21,67",mengerle
61,6,"32,70",zyntifox
61,7,"34,95",TheGepi
61,8,"21,78",Jeppe
61,9,"1:02,71",Dr_Luni
61,10,"12,51",MGen
61,11,"25,71",psy
61,12,"22,57",Markku
61,13,"17,16",Jeppe
61,14,"18,29",Jeppe
61,15,"1:05,52",Jokke
61,16,"1:32,87",YeeS
61,17,"56,97",umiz
61,18,"46,05",Eliaz
61,19,"39,82",Champi0N
61,20,"1:06,93",Joni
61,21,"14,96",zyntifox
61,22,"40,63",Jokke
61,23,"47,32",ZeiZei
61,24,"58,16",Jokke
61,25,"24,88",Jeppe
61,26,"26,89",Jokke
61,27,"37,29",ZeiZei
61,28,"53,47",Karlis
61,29,"48,52",elg
61,30,"33,80",LimpaN
61,31,"1:22,42",Totalnew
61,32,"43,72",Jeppe
61,33,"1:08,31",swos
61,34,"37,97",Totalnew
61,35,"2:35,33",pajen
61,36,"1:01,54",Jokke
61,37,"58,10",YeeS
61,38,"33,39",Karlis
61,39,"44,66",KingKong
61,40,"1:27,96",swos
61,41,"39,98",YeeS
61,42,"50,49",Jokke
61,43,"1:00,44",Karlis
61,44,"15,39",Karlis
61,45,"33,00",LimpaN
61,46,"1:06,36",Stene
61,47,"24,00",Eliaz
61,48,"50,60",Elbono
61,49,"42,72",Jokke
61,50,"58,89",Champi0N
61,51,"53,66",YeeS
61,52,"26,00",Stene
61,53,"18,07",elg
61,54,"1:52,55",pajen
62,1,"14,20",zyntifox
62,2,"16,74",Jeppe
62,3,"19,42",Bob
62,4,"31,41",elg
62,5,"21,67",mengerle
62,6,"32,70",zyntifox
62,7,"34,95",TheGepi
62,8,"21,78",Jeppe
62,9,"1:02,71",Dr_Luni
62,10,"12,51",MGen
62,11,"25,71",psy
62,12,"22,57",Markku
62,13,"17,16",Jeppe
62,14,"18,14",Tibity
62,15,"1:05,52",Jokke
62,16,"1:32,87",YeeS
62,17,"56,97",umiz
62,18,"46,05",Eliaz
62,19,"39,82",Champi0N
62,20,"1:06,93",Joni
62,21,"14,96",zyntifox
62,22,"40,63",Jokke
62,23,"47,32",ZeiZei
62,24,"58,16",Jokke
62,25,"24,88",Jeppe
62,26,"26,89",Jokke
62,27,"37,01",Jeppe
62,28,"53,47",Karlis
62,29,"48,52",elg
62,30,"33,74",ZiuteK
62,31,"1:22,42",Totalnew
62,32,"43,72",Jeppe
62,33,"1:08,31",swos
62,34,"37,97",Totalnew
62,35,"2:35,33",pajen
62,36,"1:01,54",Jokke
62,37,"58,10",YeeS
62,38,"33,39",Karlis
62,39,"44,66",KingKong
62,40,"1:27,96",swos
62,41,"39,98",YeeS
62,42,"50,49",Jokke
62,43,"1:00,44",Karlis
62,44,"15,39",Karlis
62,45,"33,00",LimpaN
62,46,"1:06,36",Stene
62,47,"20,95",Eliaz
62,48,"50,60",Elbono
62,49,"42,72",Jokke
62,50,"58,89",Champi0N
62,51,"53,66",YeeS
62,52,"26,00",Stene
62,53,"18,07",elg
62,54,"1:52,55",pajen
63,1,"14,20",zyntifox
63,2,"16,74",Jeppe
63,3,"19,42",Bob
63,4,"31,41",elg
63,5,"21,67",mengerle
63,6,"32,70",zyntifox
63,7,"34,95",TheGepi
63,8,"21,78",Jeppe
63,9,"1:02,71",Dr_Luni
63,10,"12,51",MGen
63,11,"25,71",psy
63,12,"22,57",Markku
63,13,"17,16",Jeppe
63,14,"18,14",Tibity
63,15,"1:05,52",Jokke
63,16,"1:32,87",YeeS
63,17,"56,97",umiz
63,18,"46,05",Eliaz
63,19,"39,82",Champi0N
63,20,"1:06,93",Joni
63,21,"14,96",zyntifox
63,22,"40,63",Jokke
63,23,"47,32",ZeiZei
63,24,"58,16",Jokke
63,25,"24,88",Jeppe
63,26,"26,89",Jokke
63,27,"36,85",Jeppe
63,28,"53,47",Karlis
63,29,"48,52",elg
63,30,"33,74",ZiuteK
63,31,"1:22,42",Totalnew
63,32,"43,72",Jeppe
63,33,"1:08,31",swos
63,34,"37,97",Totalnew
63,35,"2:35,33",pajen
63,36,"1:01,54",Jokke
63,37,"58,10",YeeS
63,38,"33,39",Karlis
63,39,"44,66",KingKong
63,40,"1:27,96",swos
63,41,"39,98",YeeS
63,42,"50,49",Jokke
63,43,"1:00,44",Karlis
63,44,"15,36",MGen
63,45,"33,00",LimpaN
63,46,"1:06,36",Stene
63,47,"20,95",Eliaz
63,48,"50,60",Elbono
63,49,"42,72",Jokke
63,50,"58,89",Champi0N
63,51,"53,66",YeeS
63,52,"26,00",Stene
63,53,"18,07",elg
63,54,"1:52,55",pajen
64,1,"14,20",zyntifox
64,2,"16,74",Jeppe
64,3,"19,42",Bob
64,4,"31,41",elg
64,5,"21,67",mengerle
64,6,"32,70",zyntifox
64,7,"34,95",TheGepi
64,8,"21,78",Jeppe
64,9,"1:02,54",Elbono
64,10,"12,51",MGen
64,11,"25,71",psy
64,12,"22,57",Markku
64,13,"17,16",Jeppe
64,14,"18,14",Tibity
64,15,"1:05,52",Jokke
64,16,"1:32,87",YeeS
64,17,"56,97",umiz
64,18,"46,05",Eliaz
64,19,"39,82",Champi0N
64,20,"1:06,93",Joni
64,21,"14,96",zyntifox
64,22,"40,63",Jokke
64,23,"47,32",ZeiZei
64,24,"58,16",Jokke
64,25,"24,88",Jeppe
64,26,"26,89",Jokke
64,27,"36,85",Jeppe
64,28,"53,47",Karlis
64,29,"48,08","Duke [HfK]"
64,30,"33,74",ZiuteK
64,31,"1:22,42",Totalnew
64,32,"43,72",Jeppe
64,33,"1:08,31",swos
64,34,"37,97",Totalnew
64,35,"2:35,33",pajen
64,36,"1:01,54",Jokke
64,37,"58,10",YeeS
64,38,"33,39",Karlis
64,39,"44,66",KingKong
64,40,"1:27,96",swos
64,41,"39,98",YeeS
64,42,"50,49",Jokke
64,43,"1:00,44",Karlis
64,44,"15,36",MGen
64,45,"33,00",LimpaN
64,46,"1:06,36",Stene
64,47,"20,95",Eliaz
64,48,"50,34",pajen
64,49,"42,72",Jokke
64,50,"58,89",Champi0N
64,51,"53,66",YeeS
64,52,"26,00",Stene
64,53,"18,07",elg
64,54,"1:52,55",pajen
65,1,"14,20",zyntifox
65,2,"16,74",Jeppe
65,3,"19,42",Bob
65,4,"31,41",elg
65,5,"21,67",mengerle
65,6,"32,70",zyntifox
65,7,"34,95",TheGepi
65,8,"21,78",Jeppe
65,9,"1:02,08",pajen
65,10,"12,51",MGen
65,11,"25,71",psy
65,12,"22,57",Markku
65,13,"17,16",Jeppe
65,14,"18,14",Tibity
65,15,"1:05,52",Jokke
65,16,"1:32,87",YeeS
65,17,"56,97",umiz
65,18,"46,05",Eliaz
65,19,"39,82",Champi0N
65,20,"1:06,93",Joni
65,21,"14,96",zyntifox
65,22,"40,63",Jokke
65,23,"47,32",ZeiZei
65,24,"58,16",Jokke
65,25,"24,88",Jeppe
65,26,"26,89",Jokke
65,27,"36,85",Jeppe
65,28,"53,47",Karlis
65,29,"47,99",pajen
65,30,"33,74",ZiuteK
65,31,"1:22,28",Eliaz
65,32,"43,72",Jeppe
65,33,"1:08,31",swos
65,34,"37,97",Totalnew
65,35,"2:34,58",Karlis
65,36,"1:01,54",Jokke
65,37,"58,10",YeeS
65,38,"33,39",Karlis
65,39,"44,66",KingKong
65,40,"1:27,96",swos
65,41,"39,98",YeeS
65,42,"50,49",Jokke
65,43,"1:00,44",Karlis
65,44,"15,36",MGen
65,45,"33,00",LimpaN
65,46,"1:06,36",Stene
65,47,"20,95",Eliaz
65,48,"50,34",pajen
65,49,"42,72",Jokke
65,50,"58,89",Champi0N
65,51,"53,66",YeeS
65,52,"26,00",Stene
65,53,"18,07",elg
65,54,"1:52,55",pajen
66,1,"14,20",zyntifox
66,2,"16,74",Jeppe
66,3,"19,42",Bob
66,4,"31,41",elg
66,5,"21,67",mengerle
66,6,"32,70",zyntifox
66,7,"34,95",TheGepi
66,8,"21,78",Jeppe
66,9,"1:02,08",pajen
66,10,"12,51",MGen
66,11,"25,71",psy
66,12,"22,57",Markku
66,13,"17,16",Jeppe
66,14,"18,14",Tibity
66,15,"1:05,52",Jokke
66,16,"1:32,87",YeeS
66,17,"56,97",umiz
66,18,"46,05",Eliaz
66,19,"39,82",Champi0N
66,20,"1:06,93",Joni
66,21,"14,96",zyntifox
66,22,"40,63",Jokke
66,23,"47,32",ZeiZei
66,24,"58,16",Jokke
66,25,"24,88",Jeppe
66,26,"26,89",Jokke
66,27,"36,85",Jeppe
66,28,"53,47",Karlis
66,29,"47,99",pajen
66,30,"33,74",ZiuteK
66,31,"1:22,28",Eliaz
66,32,"43,72",Jeppe
66,33,"1:08,31",swos
66,34,"37,97",Totalnew
66,35,"2:34,58",Karlis
66,36,"1:01,54",Jokke
66,37,"58,10",YeeS
66,38,"33,39",Karlis
66,39,"44,66",KingKong
66,40,"1:27,96",swos
66,41,"39,98",YeeS
66,42,"50,49",Jokke
66,43,"1:00,44",Karlis
66,44,"15,36",MGen
66,45,"33,00",LimpaN
66,46,"1:06,36",Stene
66,47,"20,95",Eliaz
66,48,"50,34",pajen
66,49,"42,72",Jokke
66,50,"58,89",Champi0N
66,51,"53,66",YeeS
66,52,"26,00",Stene
66,53,"18,07",elg
66,54,"1:52,55",pajen
67,1,"14,20",zyntifox
67,2,"16,74",Jeppe
67,3,"19,42",Bob
67,4,"31,31",dz
67,5,"21,67",mengerle
67,6,"32,65",Janne
67,7,"34,95",TheGepi
67,8,"21,78",Jeppe
67,9,"1:02,08",pajen
67,10,"12,51",MGen
67,11,"25,71",psy
67,12,"22,57",Markku
67,13,"17,16",Jeppe
67,14,"18,14",Tibity
67,15,"1:05,52",Jokke
67,16,"1:32,87",YeeS
67,17,"56,97",umiz
67,18,"46,05",Eliaz
67,19,"39,82",Champi0N
67,20,"1:06,93",Joni
67,21,"14,96",zyntifox
67,22,"40,63",Jokke
67,23,"47,32",ZeiZei
67,24,"58,16",Jokke
67,25,"24,88",Jeppe
67,26,"26,89",Jokke
67,27,"36,85",Jeppe
67,28,"53,47",Karlis
67,29,"47,99",pajen
67,30,"33,74",ZiuteK
67,31,"1:22,28",Eliaz
67,32,"43,72",Jeppe
67,33,"1:08,31",swos
67,34,"37,97",Totalnew
67,35,"2:34,58",Karlis
67,36,"1:01,54",Jokke
67,37,"58,10",YeeS
67,38,"33,39",Karlis
67,39,"44,66",KingKong
67,40,"1:27,96",swos
67,41,"39,98",YeeS
67,42,"50,49",Jokke
67,43,"1:00,44",Karlis
67,44,"15,34",MGen
67,45,"33,00",LimpaN
67,46,"1:03,59",pajen
67,47,"20,73",MadMan
67,48,"50,34",pajen
67,49,"42,72",Jokke
67,50,"58,89",Champi0N
67,51,"53,66",YeeS
67,52,"26,00",Stene
67,53,"18,07",elg
67,54,"1:52,55",pajen
68,1,"14,20",zyntifox
68,2,"16,74",Jeppe
68,3,"19,42",Bob
68,4,"31,31",dz
68,5,"21,67",mengerle
68,6,"32,65",Janne
68,7,"34,95",TheGepi
68,8,"21,78",Jeppe
68,9,"1:02,08",pajen
68,10,"12,51",MGen
68,11,"25,71",psy
68,12,"22,57",Markku
68,13,"17,16",Jeppe
68,14,"18,14",Tibity
68,15,"1:05,52",Jokke
68,16,"1:32,87",YeeS
68,17,"56,97",umiz
68,18,"46,05",Eliaz
68,19,"39,82",Champi0N
68,20,"1:06,93",Joni
68,21,"14,96",zyntifox
68,22,"40,63",Jokke
68,23,"47,32",ZeiZei
68,24,"58,16",Jokke
68,25,"24,88",Jeppe
68,26,"26,89",Jokke
68,27,"36,85",Jeppe
68,28,"53,47",Karlis
68,29,"47,99",pajen
68,30,"33,74",ZiuteK
68,31,"1:22,28",Eliaz
68,32,"43,72",Jeppe
68,33,"1:08,31",swos
68,34,"37,97",Totalnew
68,35,"2:34,58",Karlis
68,36,"1:01,54",Jokke
68,37,"58,10",YeeS
68,38,"33,39",Karlis
68,39,"44,66",KingKong
68,40,"1:27,96",swos
68,41,"39,98",YeeS
68,42,"50,49",Jokke
68,43,"1:00,44",Karlis
68,44,"15,32",Karlis
68,45,"33,00",LimpaN
68,46,"1:03,59",pajen
68,47,"20,73",MadMan
68,48,"50,34",pajen
68,49,"42,72",Jokke
68,50,"58,89",Champi0N
68,51,"53,66",YeeS
68,52,"26,00",Stene
68,53,"18,07",elg
68,54,"1:52,55",pajen
69,1,"14,20",zyntifox
69,2,"16,74",Jeppe
69,3,"19,42",Bob
69,4,"31,31",dz
69,5,"21,67",mengerle
69,6,"32,31",Janne
69,7,"34,95",TheGepi
69,8,"21,78",Jeppe
69,9,"1:02,08",pajen
69,10,"12,51",MGen
69,11,"25,71",psy
69,12,"22,57",Markku
69,13,"17,16",Jeppe
69,14,"18,14",Tibity
69,15,"1:05,52",Jokke
69,16,"1:32,87",YeeS
69,17,"56,97",umiz
69,18,"46,05",Eliaz
69,19,"39,82",Champi0N
69,20,"1:06,93",Joni
69,21,"14,96",zyntifox
69,22,"40,63",Jokke
69,23,"47,32",ZeiZei
69,24,"58,16",Jokke
69,25,"24,88",Jeppe
69,26,"26,89",Jokke
69,27,"36,85",Jeppe
69,28,"53,47",Karlis
69,29,"47,99",pajen
69,30,"33,74",ZiuteK
69,31,"1:22,28",Eliaz
69,32,"43,72",Jeppe
69,33,"1:08,31",swos
69,34,"37,97",Totalnew
69,35,"2:34,58",Karlis
69,36,"1:01,54",Jokke
69,37,"58,10",YeeS
69,38,"33,39",Karlis
69,39,"44,66",KingKong
69,40,"1:27,96",swos
69,41,"39,98",YeeS
69,42,"50,49",Jokke
69,43,"1:00,44",Karlis
69,44,"15,32",Karlis
69,45,"33,00",LimpaN
69,46,"1:03,59",pajen
69,47,"20,73",MadMan
69,48,"50,34",pajen
69,49,"42,72",Jokke
69,50,"58,89",Champi0N
69,51,"53,66",YeeS
69,52,"26,00",Stene
69,53,"18,07",elg
69,54,"1:52,55",pajen
70,1,"14,20",zyntifox
70,2,"16,74",Jeppe
70,3,"19,42",Bob
70,4,"31,31",dz
70,5,"21,67",mengerle
70,6,"32,31",Janne
70,7,"34,95",TheGepi
70,8,"21,78",Jeppe
70,9,"1:02,08",pajen
70,10,"12,51",MGen
70,11,"25,71",psy
70,12,"22,43",Jeppe
70,13,"17,16",Jeppe
70,14,"18,14",Tibity
70,15,"1:05,52",Jokke
70,16,"1:32,87",YeeS
70,17,"56,97",umiz
70,18,"46,05",Eliaz
70,19,"39,82",Champi0N
70,20,"1:06,93",Joni
70,21,"14,96",zyntifox
70,22,"40,48",dz
70,23,"47,32",ZeiZei
70,24,"58,16",Jokke
70,25,"24,88",Jeppe
70,26,"26,89",Jokke
70,27,"36,85",Jeppe
70,28,"53,47",Karlis
70,29,"47,99",pajen
70,30,"33,63",dz
70,31,"1:22,28",Eliaz
70,32,"43,72",Jeppe
70,33,"1:08,31",swos
70,34,"37,97",Totalnew
70,35,"2:34,58",Karlis
70,36,"1:01,54",Jokke
70,37,"58,10",YeeS
70,38,"33,39",Karlis
70,39,"44,66",KingKong
70,40,"1:27,96",swos
70,41,"39,98",YeeS
70,42,"50,49",Jokke
70,43,"1:00,44",Karlis
70,44,"15,32",Karlis
70,45,"32,99",Jeppe
70,46,"1:03,59",pajen
70,47,"20,73",MadMan
70,48,"50,34",pajen
70,49,"42,72",Jokke
70,50,"58,89",Champi0N
70,51,"53,66",YeeS
70,52,"26,00",Stene
70,53,"18,07",elg
70,54,"1:52,55",pajen
71,1,"14,18",Jeppe
71,2,"16,74",Jeppe
71,3,"19,42",Bob
71,4,"31,30",swos
71,5,"21,67",mengerle
71,6,"32,31",Janne
71,7,"34,95",TheGepi
71,8,"21,78",Jeppe
71,9,"1:02,08",pajen
71,10,"12,51",MGen
71,11,"25,71",psy
71,12,"22,43",Jeppe
71,13,"17,16",Jeppe
71,14,"18,14",Tibity
71,15,"1:05,52",Jokke
71,16,"1:32,87",YeeS
71,17,"56,97",umiz
71,18,"46,05",Eliaz
71,19,"39,82",Champi0N
71,20,"1:06,93",Joni
71,21,"14,96",zyntifox
71,22,"40,48",dz
71,23,"47,32",ZeiZei
71,24,"58,16",Jokke
71,25,"24,88",Jeppe
71,26,"26,89",Jokke
71,27,"36,85",Jeppe
71,28,"53,47",Karlis
71,29,"47,99",pajen
71,30,"33,57",ZiuteK
71,31,"1:22,28",Eliaz
71,32,"43,67",Jeppe
71,33,"1:08,31",swos
71,34,"37,97",Totalnew
71,35,"2:32,76",pajen
71,36,"1:01,54",Jokke
71,37,"58,10",YeeS
71,38,"33,39",Karlis
71,39,"44,66",KingKong
71,40,"1:27,96",swos
71,41,"39,98",YeeS
71,42,"50,49",Jokke
71,43,"1:00,44",Karlis
71,44,"15,32",Karlis
71,45,"32,99",Jeppe
71,46,"1:03,59",pajen
71,47,"20,73",MadMan
71,48,"50,34",pajen
71,49,"42,12",Jokke
71,50,"58,89",Champi0N
71,51,"53,66",YeeS
71,52,"26,00",Stene
71,53,"18,07",elg
71,54,"1:52,55",pajen
72,1,"14,18",Jeppe
72,2,"16,74",Jeppe
72,3,"19,42",Bob
72,4,"31,08",swos
72,5,"21,67",mengerle
72,6,"32,31",Janne
72,7,"34,95",TheGepi
72,8,"21,78",Jeppe
72,9,"1:02,08",pajen
72,10,"12,51",MGen
72,11,"25,71",psy
72,12,"22,43",Jeppe
72,13,"17,16",Jeppe
72,14,"18,14",Tibity
72,15,"1:05,52",Jokke
72,16,"1:32,87",YeeS
72,17,"56,97",umiz
72,18,"46,05",Eliaz
72,19,"39,82",Champi0N
72,20,"1:06,93",Joni
72,21,"14,96",zyntifox
72,22,"40,48",dz
72,23,"47,29",Jokke
72,24,"58,16",Jokke
72,25,"24,88",Jeppe
72,26,"26,89",Jokke
72,27,"36,85",Jeppe
72,28,"53,47",Karlis
72,29,"47,99",pajen
72,30,"33,56",Totalnew
72,31,"1:22,28",Eliaz
72,32,"43,67",Jeppe
72,33,"1:08,31",swos
72,34,"37,97",Totalnew
72,35,"2:32,76",pajen
72,36,"1:01,54",Jokke
72,37,"58,10",YeeS
72,38,"33,39",Karlis
72,39,"44,66",KingKong
72,40,"1:27,96",swos
72,41,"39,98",YeeS
72,42,"50,49",Jokke
72,43,"1:00,44",Karlis
72,44,"15,32",Karlis
72,45,"32,99",Jeppe
72,46,"1:03,59",pajen
72,47,"20,73",MadMan
72,48,"50,34",pajen
72,49,"42,12",Jokke
72,50,"58,89",Champi0N
72,51,"53,66",YeeS
72,52,"26,00",Stene
72,53,"18,07",elg
72,54,"1:52,55",pajen
73,1,"14,18",Jeppe
73,2,"16,74",Jeppe
73,3,"19,42",Bob
73,4,"31,08",swos
73,5,"21,67",mengerle
73,6,"32,31",Janne
73,7,"34,95",TheGepi
73,8,"21,78",Jeppe
73,9,"1:02,08",pajen
73,10,"12,51",MGen
73,11,"25,71",psy
73,12,"22,43",Jeppe
73,13,"17,16",Jeppe
73,14,"18,14",Tibity
73,15,"1:05,52",Jokke
73,16,"1:32,87",YeeS
73,17,"56,97",umiz
73,18,"46,05",Eliaz
73,19,"38,94",pajen
73,20,"1:06,88",Jeppe
73,21,"14,96",zyntifox
73,22,"40,48",dz
73,23,"47,29",Jokke
73,24,"58,16",Jokke
73,25,"24,88",Jeppe
73,26,"26,89",Jokke
73,27,"36,67",Mick
73,28,"52,81",pajen
73,29,"47,99",pajen
73,30,"33,56",Totalnew
73,31,"1:22,28",Eliaz
73,32,"43,67",Jeppe
73,33,"1:08,31",swos
73,34,"37,93",Mick
73,35,"2:32,76",pajen
73,36,"1:01,32",dz
73,37,"58,10",YeeS
73,38,"33,39",Karlis
73,39,"44,31",dz
73,40,"1:27,96",swos
73,41,"39,98",YeeS
73,42,"50,49",Jokke
73,43,"1:00,30",dz
73,44,"15,32",Karlis
73,45,"32,99",Jeppe
73,46,"1:03,59",pajen
73,47,"20,73",MadMan
73,48,"50,34",pajen
73,49,"42,12",Jokke
73,50,"58,42",dz
73,51,"53,12",dz
73,52,"26,00",Stene
73,53,"18,07",elg
73,54,"1:52,55",pajen
74,1,"14,18",Jeppe
74,2,"16,74",Jeppe
74,3,"19,42",Bob
74,4,"31,08",swos
74,5,"21,67",mengerle
74,6,"32,31",Janne
74,7,"34,95",TheGepi
74,8,"21,78",Jeppe
74,9,"1:02,08",pajen
74,10,"12,51",MGen
74,11,"25,71",psy
74,12,"22,43",Jeppe
74,13,"17,16",Jeppe
74,14,"18,14",Tibity
74,15,"1:05,25",StarChild
74,16,"1:32,87",YeeS
74,17,"56,91",MGen
74,18,"45,90",ZiuteK
74,19,"38,82",pajen
74,20,"1:06,88",Jeppe
74,21,"14,96",zyntifox
74,22,"40,48",dz
74,23,"47,29",Jokke
74,24,"58,16",Jokke
74,25,"24,88",Jeppe
74,26,"26,89",Jokke
74,27,"36,67",Mick
74,28,"52,81",pajen
74,29,"47,99",pajen
74,30,"33,50",ZiuteK
74,31,"1:22,28",Eliaz
74,32,"43,67",Jeppe
74,33,"1:07,11",pajen
74,34,"37,93",Mick
74,35,"2:31,87",Stene
74,36,"1:00,82",Jokke
74,37,"58,10",YeeS
74,38,"33,24",mr
74,39,"44,31",dz
74,40,"1:27,96",swos
74,41,"39,98",YeeS
74,42,"50,49",Jokke
74,43,"59,78",Karlis
74,44,"15,32",Karlis
74,45,"32,99",Jeppe
74,46,"1:03,59",pajen
74,47,"20,29",Mick
74,48,"50,34",pajen
74,49,"42,12",Jokke
74,50,"58,42",dz
74,51,"53,12",dz
74,52,"26,00",Stene
74,53,"18,07",elg
74,54,"1:52,29",dz
75,1,"14,18",Jeppe
75,2,"16,74",Jeppe
75,3,"19,42",Bob
75,4,"31,05",dz
75,5,"21,67",mengerle
75,6,"32,31",Janne
75,7,"34,95",TheGepi
75,8,"21,78",Jeppe
75,9,"1:02,08",pajen
75,10,"12,51",MGen
75,11,"25,71",psy
75,12,"22,43",Jeppe
75,13,"17,16",Jeppe
75,14,"18,14",Tibity
75,15,"1:04,79",Jokke
75,16,"1:30,99",pajen
75,17,"56,91",MGen
75,18,"45,90",ZiuteK
75,19,"38,82",pajen
75,20,"1:05,73",Tisk
75,21,"14,96",zyntifox
75,22,"40,45",pajen
75,23,"47,29",Jokke
75,24,"58,16",Jokke
75,25,"24,88",Jeppe
75,26,"25,63",oizo!
75,27,"36,61",Krux
75,28,"52,81",pajen
75,29,"47,99",pajen
75,30,"33,50",ZiuteK
75,31,"1:22,28",Eliaz
75,32,"43,67",Jeppe
75,33,"1:07,11",pajen
75,34,"37,93",Mick
75,35,"2:31,87",Stene
75,36,"1:00,82",Jokke
75,37,"58,10",YeeS
75,38,"33,24",mr
75,39,"44,31",dz
75,40,"1:27,82",YeeS
75,41,"39,98",YeeS
75,42,"50,49",Jokke
75,43,"59,78",Karlis
75,44,"15,32",Karlis
75,45,"32,99",Jeppe
75,46,"1:03,59",pajen
75,47,"20,29",Mick
75,48,"49,36",pajen
75,49,"42,12",Jokke
75,50,"57,74",psy
75,51,"53,12",dz
75,52,"26,00",Stene
75,53,"18,07",elg
75,54,"1:52,29",dz
76,1,"14,18",Jeppe
76,2,"16,74",Jeppe
76,3,"19,42",Bob
76,4,"31,05",dz
76,5,"21,67",mengerle
76,6,"32,28",freak
76,7,"34,95",TheGepi
76,8,"21,78",Jeppe
76,9,"1:02,08",pajen
76,10,"12,51",MGen
76,11,"25,71",psy
76,12,"22,43",Jeppe
76,13,"17,16",Jeppe
76,14,"18,14",Tibity
76,15,"1:04,79",Jokke
76,16,"1:30,99",pajen
76,17,"56,91",MGen
76,18,"45,66","ZiuteK [FRC]"
76,19,"38,82",pajen
76,20,"1:05,05",Tisk
76,21,"14,96",zyntifox
76,22,"40,45",pajen
76,23,"47,29",Jokke
76,24,"58,16",Jokke
76,25,"24,88",Jeppe
76,26,"25,15",swos
76,27,"36,45",Janne
76,28,"52,81",pajen
76,29,"47,99",pajen
76,30,"33,50",ZiuteK
76,31,"1:22,28",Eliaz
76,32,"43,67",Jeppe
76,33,"1:07,11",pajen
76,34,"37,93",Mick
76,35,"2:31,87",Stene
76,36,"1:00,82",Jokke
76,37,"58,10",YeeS
76,38,"33,24",mr
76,39,"44,31",dz
76,40,"1:27,82",YeeS
76,41,"39,98",YeeS
76,42,"50,49",Jokke
76,43,"59,78",Karlis
76,44,"15,32",Karlis
76,45,"32,99",Jeppe
76,46,"1:03,59",pajen
76,47,"20,29",Mick
76,48,"49,36",pajen
76,49,"42,12",Jokke
76,50,"57,74",psy
76,51,"53,12",dz
76,52,"26,00",Stene
76,53,"18,07",elg
76,54,"1:51,11",psy
77,1,"14,18",Jeppe
77,2,"16,74",Jeppe
77,3,"19,42",Bob
77,4,"30,81",swos
77,5,"21,67",mengerle
77,6,"32,28",freak
77,7,"34,95",TheGepi
77,8,"21,78",Jeppe
77,9,"1:01,64",Jeppe
77,10,"12,51",MGen
77,11,"25,71",psy
77,12,"22,43",Jeppe
77,13,"17,16",Jeppe
77,14,"18,14",Tibity
77,15,"1:04,79",Jokke
77,16,"1:30,99",pajen
77,17,"56,38",MGen
77,18,"45,66","ZiuteK [FRC]"
77,19,"38,82",pajen
77,20,"1:05,05",Tisk
77,21,"14,88",Jeppe
