table,lev,lev_name,time,kuski
3,25,Precarious,"25,11","AnTTiM [HfK]"
3,26,Circuitous,"28,15",psy
3,27,"Shelf Life","38,00",Champi0N
3,28,"Bounce Back","54,94",Petri
3,29,Headbanger,"49,82",zeth
3,30,Pipe,"34,86",Karlis
3,31,"Animal Farm","1:28,81",KingKong
3,32,"Steep Corner","44,57",KingKong
3,33,Zig-Zag,"1:43,44",Champi0N
3,34,"Bumpy Journey","38,59",Tookai
3,35,"Labyrinth Pro","2:41,29",psy
3,36,"Fruit in the Den","1:04,57",Jokke
3,37,Jaws,"1:01,83",DMC
3,38,Curvaceous,"33,89",Stene
3,39,Haircut,"46,17",Garion
3,40,"Double Trouble","1:30,85",loX
3,41,Framework,"41,17",KingKong
3,42,Enduro,"52,45",Jokke
3,43,"He He","1:02,59",Karlis
3,44,Freefall,"33,95",Joni
3,45,Sink,"33,96",mazter
3,46,Bowling,"1:10,11",zeth
3,47,Enigma,"28,26",Champi0N
3,48,Downhill,"54,77",Joni
3,49,"What the Heck","44,39",Joni
3,50,"Expert System","1:02,33",Markku
3,51,"Tricks Abound","1:00,12",Joni
3,52,"Hang Tight","26,92",Rainman
3,53,Hooked,"18,50",psy
3,54,"Apple Harvest","1:56,66",ramone
4,1,"Warm Up","14,37",Stikky
4,2,"Flat Track","16,89","mengerle [UA]"
4,3,"Twin Peaks","20,01",DeG
4,4,"Over and Under","32,14","mengerle [UA]"
4,5,"Uphill Battle","22,41",Ufo
4,6,"Long Haul","33,41",Markku
4,7,"Hi Flyer","35,82",powell
4,8,Tag,"22,55",SoGe
4,9,"Tunnel Terror","1:05,22",Elbono
4,10,"The Steppes","13,86",mr
4,11,"Gravity Ride","26,52",Joni
4,12,"Islands in the Sky","22,84",Gazoline
4,13,"Hill Legend","17,89",LocDog
4,14,Loop-de-Loop,"18,35",DeG
4,15,"Serpents Tale","1:07,53",zeth
4,16,"New Wave","1:35,76",Champi0N
4,17,Labyrinth,"58,87",YeeS
4,18,Spiral,"46,79",ZanguiZ
4,19,Turnaround,"40,80",Stene
4,20,"Upside Down","1:07,90",Joni
4,21,Hangman,"15,22",zyntifox
4,22,Slalom,"42,86",TuA
4,23,"Quick Round","48,61",Jokke
4,24,"Ramp Frenzy","1:00,79",KingKong
4,25,Precarious,"25,11","AnTTiM [HfK]"
4,26,Circuitous,"28,15",psy
